ngram,Backup,Backp,Bacup
1500,0.0,0.0,0.0
1501,0.0,0.0,0.0
1502,0.0,0.0,0.0
1503,0.0,0.0,0.0
1504,0.0,0.0,0.0
1505,0.0,0.0,0.0
1506,0.0,0.0,0.0
1507,0.0,0.0,0.0
1508,0.0,0.0,0.0
1509,0.0,0.0,0.0
1510,0.0,0.0,0.0
1511,0.0,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,0.0,0.0,0.0
1518,0.0,0.0,0.0
1519,0.0,0.0,0.0
1520,0.0,0.0,0.0
1521,0.0,0.0,0.0
1522,0.0,0.0,0.0
1523,0.0,0.0,0.0
1524,0.0,0.0,0.0
1525,0.0,0.0,0.0
1526,0.0,0.0,0.0
1527,0.0,0.0,0.0
1528,0.0,0.0,0.0
1529,0.0,0.0,0.0
1530,0.0,0.0,0.0
1531,0.0,0.0,0.0
1532,4.509165916845502e-07,0.0,0.0
1533,4.509165916845502e-07,0.0,0.0
1534,4.509165916845502e-07,0.0,0.0
1535,4.509165916845502e-07,0.0,0.0
1536,4.509165916845502e-07,0.0,0.0
1537,4.509165916845502e-07,0.0,0.0
1538,4.509165916845502e-07,0.0,0.0
1539,1.6602222915805344e-06,0.0,0.0
1540,1.6602222915805344e-06,0.0,0.0
1541,1.6602222915805344e-06,0.0,0.0
1542,1.6602222915805344e-06,0.0,0.0
1543,1.6602222915805344e-06,0.0,0.0
1544,1.6602222915805344e-06,0.0,0.0
1545,1.6602222915805344e-06,0.0,0.0
1546,0.0,0.0,0.0
1547,0.0,0.0,0.0
1548,0.0,0.0,0.0
1549,0.0,0.0,0.0
1550,0.0,0.0,0.0
1551,0.0,0.0,0.0
1552,0.0,0.0,0.0
1553,0.0,0.0,0.0
1554,0.0,0.0,0.0
1555,0.0,0.0,0.0
1556,0.0,0.0,0.0
1557,0.0,0.0,0.0
1558,0.0,0.0,0.0
1559,0.0,0.0,0.0
1560,0.0,0.0,0.0
1561,0.0,0.0,0.0
1562,0.0,0.0,0.0
1563,0.0,0.0,0.0
1564,0.0,0.0,0.0
1565,0.0,0.0,0.0
1566,0.0,0.0,0.0
1567,0.0,0.0,0.0
1568,0.0,0.0,0.0
1569,0.0,0.0,0.0
1570,0.0,0.0,0.0
1571,0.0,0.0,0.0
1572,0.0,0.0,0.0
1573,0.0,0.0,0.0
1574,0.0,0.0,0.0
1575,0.0,0.0,0.0
1576,0.0,0.0,0.0
1577,0.0,0.0,0.0
1578,0.0,0.0,0.0
1579,0.0,0.0,0.0
1580,0.0,0.0,0.0
1581,0.0,0.0,0.0
1582,0.0,0.0,0.0
1583,0.0,0.0,0.0
1584,0.0,0.0,0.0
1585,0.0,0.0,0.0
1586,0.0,0.0,0.0
1587,0.0,0.0,0.0
1588,0.0,0.0,0.0
1589,0.0,0.0,0.0
1590,0.0,0.0,0.0
1591,0.0,0.0,0.0
1592,0.0,0.0,0.0
1593,0.0,0.0,0.0
1594,0.0,0.0,0.0
1595,0.0,0.0,0.0
1596,0.0,0.0,0.0
1597,0.0,0.0,0.0
1598,0.0,0.0,0.0
1599,0.0,0.0,0.0
1600,0.0,0.0,0.0
1601,0.0,0.0,0.0
1602,0.0,0.0,0.0
1603,0.0,0.0,0.0
1604,0.0,0.0,0.0
1605,0.0,0.0,0.0
1606,0.0,0.0,0.0
1607,0.0,0.0,0.0
1608,0.0,0.0,0.0
1609,0.0,0.0,0.0
1610,0.0,0.0,0.0
1611,0.0,0.0,0.0
1612,0.0,0.0,0.0
1613,0.0,0.0,0.0
1614,0.0,0.0,0.0
1615,0.0,0.0,0.0
1616,0.0,0.0,0.0
1617,0.0,0.0,0.0
1618,0.0,0.0,0.0
1619,0.0,0.0,0.0
1620,0.0,0.0,0.0
1621,0.0,0.0,0.0
1622,0.0,0.0,0.0
1623,0.0,0.0,0.0
1624,0.0,0.0,0.0
1625,0.0,0.0,0.0
1626,0.0,0.0,0.0
1627,0.0,0.0,0.0
1628,0.0,0.0,0.0
1629,0.0,0.0,0.0
1630,0.0,0.0,0.0
1631,0.0,0.0,0.0
1632,0.0,0.0,0.0
1633,0.0,0.0,0.0
1634,0.0,0.0,0.0
1635,0.0,0.0,0.0
1636,0.0,0.0,0.0
1637,0.0,0.0,0.0
1638,0.0,0.0,0.0
1639,0.0,0.0,0.0
1640,0.0,0.0,0.0
1641,0.0,0.0,0.0
1642,0.0,0.0,0.0
1643,0.0,0.0,0.0
1644,0.0,0.0,0.0
1645,0.0,0.0,0.0
1646,0.0,0.0,0.0
1647,0.0,0.0,0.0
1648,0.0,0.0,0.0
1649,0.0,0.0,0.0
1650,0.0,0.0,0.0
1651,0.0,0.0,0.0
1652,0.0,0.0,0.0
1653,0.0,0.0,0.0
1654,0.0,0.0,0.0
1655,0.0,0.0,0.0
1656,0.0,0.0,0.0
1657,0.0,0.0,0.0
1658,0.0,0.0,0.0
1659,0.0,0.0,0.0
1660,0.0,0.0,0.0
1661,0.0,0.0,0.0
1662,0.0,0.0,0.0
1663,0.0,0.0,0.0
1664,0.0,0.0,0.0
1665,0.0,0.0,0.0
1666,0.0,0.0,0.0
1667,0.0,0.0,0.0
1668,0.0,0.0,0.0
1669,0.0,0.0,0.0
1670,0.0,0.0,0.0
1671,0.0,0.0,0.0
1672,0.0,0.0,0.0
1673,0.0,0.0,0.0
1674,0.0,0.0,0.0
1675,0.0,0.0,0.0
1676,0.0,0.0,0.0
1677,0.0,0.0,0.0
1678,0.0,0.0,0.0
1679,0.0,0.0,0.0
1680,0.0,0.0,0.0
1681,0.0,0.0,0.0
1682,0.0,0.0,0.0
1683,0.0,0.0,0.0
1684,0.0,0.0,0.0
1685,0.0,0.0,0.0
1686,0.0,0.0,0.0
1687,0.0,0.0,0.0
1688,0.0,0.0,0.0
1689,0.0,0.0,0.0
1690,0.0,0.0,0.0
1691,0.0,0.0,0.0
1692,0.0,0.0,0.0
1693,0.0,0.0,0.0
1694,0.0,0.0,0.0
1695,0.0,0.0,0.0
1696,0.0,0.0,0.0
1697,0.0,0.0,0.0
1698,0.0,0.0,0.0
1699,0.0,0.0,0.0
1700,0.0,0.0,0.0
1701,0.0,0.0,0.0
1702,0.0,0.0,0.0
1703,0.0,0.0,0.0
1704,0.0,0.0,0.0
1705,0.0,0.0,0.0
1706,0.0,0.0,0.0
1707,0.0,0.0,0.0
1708,0.0,0.0,0.0
1709,0.0,0.0,0.0
1710,0.0,0.0,3.44300466232588e-08
1711,0.0,0.0,3.44300466232588e-08
1712,1.086341987794575e-08,0.0,3.44300466232588e-08
1713,1.086341987794575e-08,0.0,3.44300466232588e-08
1714,1.086341987794575e-08,0.0,3.44300466232588e-08
1715,1.086341987794575e-08,0.0,3.44300466232588e-08
1716,1.086341987794575e-08,0.0,3.44300466232588e-08
1717,1.086341987794575e-08,0.0,0.0
1718,1.086341987794575e-08,0.0,0.0
1719,0.0,0.0,0.0
1720,0.0,0.0,0.0
1721,0.0,0.0,0.0
1722,0.0,0.0,0.0
1723,0.0,0.0,0.0
1724,0.0,0.0,0.0
1725,0.0,0.0,0.0
1726,0.0,0.0,0.0
1727,0.0,0.0,0.0
1728,0.0,0.0,0.0
1729,0.0,0.0,0.0
1730,0.0,0.0,0.0
1731,0.0,0.0,0.0
1732,0.0,0.0,0.0
1733,0.0,0.0,0.0
1734,0.0,0.0,0.0
1735,0.0,0.0,0.0
1736,0.0,0.0,0.0
1737,0.0,0.0,0.0
1738,0.0,0.0,0.0
1739,0.0,0.0,0.0
1740,0.0,0.0,0.0
1741,0.0,0.0,0.0
1742,0.0,0.0,0.0
1743,0.0,0.0,0.0
1744,0.0,0.0,0.0
1745,0.0,0.0,0.0
1746,0.0,0.0,0.0
1747,0.0,0.0,0.0
1748,0.0,0.0,0.0
1749,0.0,0.0,0.0
1750,0.0,0.0,0.0
1751,0.0,0.0,0.0
1752,0.0,0.0,0.0
1753,0.0,0.0,0.0
1754,0.0,0.0,0.0
1755,0.0,0.0,1.155992330430828e-08
1756,0.0,0.0,1.155992330430828e-08
1757,0.0,0.0,1.7650169833619397e-08
1758,0.0,0.0,1.7650169833619397e-08
1759,0.0,0.0,1.7650169833619397e-08
1760,0.0,0.0,1.7650169833619397e-08
1761,0.0,0.0,1.7650169833619397e-08
1762,0.0,0.0,6.090246529311116e-09
1763,0.0,0.0,6.090246529311116e-09
1764,0.0,0.0,0.0
1765,0.0,0.0,0.0
1766,0.0,0.0,0.0
1767,0.0,0.0,0.0
1768,0.0,0.0,0.0
1769,0.0,0.0,0.0
1770,0.0,0.0,0.0
1771,0.0,0.0,0.0
1772,0.0,0.0,0.0
1773,0.0,0.0,0.0
1774,0.0,0.0,0.0
1775,0.0,0.0,0.0
1776,0.0,0.0,0.0
1777,0.0,0.0,0.0
1778,0.0,0.0,0.0
1779,0.0,0.0,0.0
1780,0.0,0.0,0.0
1781,0.0,0.0,0.0
1782,0.0,0.0,0.0
1783,0.0,0.0,0.0
1784,0.0,0.0,6.657888462768824e-09
1785,0.0,0.0,2.1220989663918643e-08
1786,4.020294954086369e-09,0.0,2.1220989663918643e-08
1787,4.020294954086369e-09,0.0,2.1220989663918643e-08
1788,4.020294954086369e-09,0.0,2.1220989663918643e-08
1789,4.020294954086369e-09,0.0,2.1220989663918643e-08
1790,4.020294954086369e-09,0.0,2.1220989663918643e-08
1791,4.020294954086369e-09,0.0,5.5829819497635724e-08
1792,4.020294954086369e-09,0.0,4.453150432531012e-08
1793,0.0,0.0,4.453150432531012e-08
1794,0.0,0.0,4.5529489892511977e-08
1795,0.0,0.0,4.5529489892511977e-08
1796,0.0,0.0,4.647765150522787e-08
1797,5.66923650881433e-10,0.0,4.817842245787217e-08
1798,1.1455803290110517e-09,0.0,8.647674259216437e-09
1799,1.1455803290110517e-09,0.0,8.386736067527473e-09
1800,1.1455803290110517e-09,0.0,2.1971645265088975e-08
1801,1.1455803290110517e-09,0.0,2.1438000168722786e-08
1802,1.1455803290110517e-09,0.0,3.706656527745013e-08
1803,1.1455803290110517e-09,0.0,3.646940362399066e-08
1804,5.786566781296187e-10,0.0,3.476863267134636e-08
1805,0.0,0.0,3.459072761557991e-08
1806,0.0,0.0,3.236253005261298e-08
1807,0.0,0.0,2.1079054311558465e-08
1808,0.0,0.0,2.2968345796720816e-08
1809,0.0,0.0,8.063479947243276e-09
1810,2.17937652052009e-10,0.0,1.7301736361068672e-08
1811,2.17937652052009e-10,0.0,2.1755031490552516e-08
1812,6.953541710684265e-10,0.0,3.046142113153191e-08
1813,1.0833129790047531e-09,0.0,5.975257755252983e-08
1814,1.2922711155129362e-09,0.0,6.121239064833211e-08
1815,1.2922711155129362e-09,0.0,7.08334826349244e-08
1816,1.2922711155129362e-09,0.0,7.505427416073676e-08
1817,1.074333463460927e-09,0.0,6.683579835607492e-08
