ngram,Chubb,Chub,Chub,Chub
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,1.5046463366681046e-06,0.0,0.0,0.0
1543,1.5046463366681046e-06,0.0,0.0,0.0
1544,1.5046463366681046e-06,2.782098493168762e-07,2.782098493168762e-07,2.782098493168762e-07
1545,1.5046463366681046e-06,2.782098493168762e-07,2.782098493168762e-07,2.782098493168762e-07
1546,1.5046463366681046e-06,2.782098493168762e-07,2.782098493168762e-07,2.782098493168762e-07
1547,1.5046463366681046e-06,2.782098493168762e-07,2.782098493168762e-07,2.782098493168762e-07
1548,1.5046463366681046e-06,2.782098493168762e-07,2.782098493168762e-07,2.782098493168762e-07
1549,0.0,2.782098493168762e-07,2.782098493168762e-07,2.782098493168762e-07
1550,0.0,2.782098493168762e-07,2.782098493168762e-07,2.782098493168762e-07
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,3.46079559676582e-07,0.0,0.0,0.0
1588,3.46079559676582e-07,0.0,0.0,0.0
1589,3.46079559676582e-07,0.0,0.0,0.0
1590,3.46079559676582e-07,0.0,0.0,0.0
1591,3.46079559676582e-07,0.0,0.0,0.0
1592,3.46079559676582e-07,0.0,0.0,0.0
1593,3.46079559676582e-07,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,0.0,0.0,0.0,0.0
1599,0.0,0.0,0.0,0.0
1600,1.0650608471353604e-07,0.0,0.0,0.0
1601,1.0650608471353604e-07,0.0,0.0,0.0
1602,1.0650608471353604e-07,0.0,0.0,0.0
1603,1.0650608471353604e-07,0.0,0.0,0.0
1604,1.0650608471353604e-07,0.0,0.0,0.0
1605,1.0650608471353604e-07,0.0,0.0,0.0
1606,1.0650608471353604e-07,0.0,0.0,0.0
1607,0.0,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0
1615,3.809432525615973e-07,0.0,0.0,0.0
1616,3.809432525615973e-07,0.0,0.0,0.0
1617,3.809432525615973e-07,0.0,0.0,0.0
1618,3.809432525615973e-07,0.0,0.0,0.0
1619,3.809432525615973e-07,0.0,0.0,0.0
1620,3.809432525615973e-07,0.0,0.0,0.0
1621,3.809432525615973e-07,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0
1623,0.0,4.849455373394969e-06,4.849455373394969e-06,4.849455373394969e-06
