ngram,Larsen,Larsen,Larsn,Larsn
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,1.6723718934892012e-05,1.6723718934892012e-05,0.0,0.0
1529,1.6723718934892012e-05,1.6723718934892012e-05,0.0,0.0
1530,1.6723718934892012e-05,1.6723718934892012e-05,0.0,0.0
1531,1.6723718934892012e-05,1.6723718934892012e-05,0.0,0.0
1532,1.6723718934892012e-05,1.6723718934892012e-05,0.0,0.0
1533,1.6723718934892012e-05,1.6723718934892012e-05,0.0,0.0
1534,1.6723718934892012e-05,1.6723718934892012e-05,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,5.969717936490529e-07,5.969717936490529e-07,0.0,0.0
1593,5.969717936490529e-07,5.969717936490529e-07,0.0,0.0
1594,5.969717936490529e-07,5.969717936490529e-07,0.0,0.0
1595,5.969717936490529e-07,5.969717936490529e-07,0.0,0.0
1596,5.969717936490529e-07,5.969717936490529e-07,0.0,0.0
1597,5.969717936490529e-07,5.969717936490529e-07,0.0,0.0
1598,7.739074590062955e-07,7.739074590062955e-07,0.0,0.0
1599,1.769356653572426e-07,1.769356653572426e-07,0.0,0.0
1600,1.769356653572426e-07,1.769356653572426e-07,0.0,0.0
1601,1.769356653572426e-07,1.769356653572426e-07,0.0,0.0
1602,1.769356653572426e-07,1.769356653572426e-07,0.0,0.0
1603,1.769356653572426e-07,1.769356653572426e-07,0.0,0.0
1604,1.769356653572426e-07,1.769356653572426e-07,0.0,0.0
1605,0.0,0.0,0.0,0.0
1606,0.0,0.0,0.0,0.0
1607,0.0,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,2.0482455706119902e-07,2.0482455706119902e-07,0.0,0.0
1612,2.0482455706119902e-07,2.0482455706119902e-07,0.0,0.0
1613,2.0482455706119902e-07,2.0482455706119902e-07,0.0,0.0
1614,2.0482455706119902e-07,2.0482455706119902e-07,0.0,0.0
1615,2.0482455706119902e-07,2.0482455706119902e-07,0.0,0.0
1616,2.0482455706119902e-07,2.0482455706119902e-07,0.0,0.0
1617,2.0482455706119902e-07,2.0482455706119902e-07,0.0,0.0
1618,0.0,0.0,0.0,0.0
1619,0.0,0.0,0.0,0.0
1620,0.0,0.0,0.0,0.0
1621,0.0,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0
