ngram,Advanced Micro Devices
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,9.571610551769742e-09
1715,9.571610551769742e-09
1716,9.571610551769742e-09
1717,9.571610551769742e-09
1718,9.571610551769742e-09
1719,9.571610551769742e-09
1720,9.571610551769742e-09
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,2.6801966360575793e-09
1787,2.6801966360575793e-09
1788,2.6801966360575793e-09
1789,2.6801966360575793e-09
1790,2.6801966360575793e-09
1791,2.6801966360575793e-09
1792,2.6801966360575793e-09
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,4.4239619903915386e-11
1867,4.4239619903915386e-11
1868,4.4239619903915386e-11
1869,4.4239619903915386e-11
1870,4.4239619903915386e-11
1871,4.4239619903915386e-11
1872,4.4239619903915386e-11
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,6.53136465546465e-10
1879,6.53136465546465e-10
1880,6.53136465546465e-10
1881,6.53136465546465e-10
1882,6.855460445352537e-10
1883,6.855460445352537e-10
1884,6.855460445352537e-10
1885,3.240957898878857e-11
1886,3.240957898878857e-11
1887,3.240957898878857e-11
1888,3.240957898878857e-11
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,5.5730265640414296e-11
1898,5.5730265640414296e-11
1899,5.5730265640414296e-11
1900,5.5730265640414296e-11
1901,5.5730265640414296e-11
1902,5.5730265640414296e-11
1903,5.5730265640414296e-11
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,6.842846130997567e-11
1929,6.842846130997567e-11
1930,6.842846130997567e-11
1931,9.46614711220103e-11
1932,9.46614711220103e-11
1933,9.46614711220103e-11
1934,9.46614711220103e-11
1935,2.6233009812034627e-11
1936,2.6233009812034627e-11
1937,2.6233009812034627e-11
1938,8.700900317697752e-10
1939,8.700900317697752e-10
1940,8.958832941370026e-10
1941,8.958832941370026e-10
1942,8.958832941370026e-10
1943,1.067509895956244e-09
1944,1.067509895956244e-09
1945,2.349587052696833e-10
1946,2.349587052696833e-10
1947,2.0916544290245602e-10
1948,2.2626544288988677e-10
1949,2.2626544288988677e-10
1950,7.155881641209203e-11
1951,7.155881641209203e-11
1952,3.4019975328877397e-11
1953,6.539844856133316e-11
1954,6.539844856133316e-11
1955,1.9324096687890957e-10
1956,2.4711298880169304e-10
1957,2.3019301346024638e-10
1958,2.6589843620567725e-10
1959,3.223681302059031e-10
1960,2.909896569734473e-10
1961,4.03545343966424e-10
1962,3.912256590116974e-10
1963,3.4725749359365565e-10
1964,4.012173539830981e-10
1965,4.1840242084470857e-10
1966,5.81759518534865e-10
1967,2.4391420837464673e-09
1968,4.841844240028552e-09
1969,7.707501126417795e-09
1970,1.0872159597211502e-08
1971,1.5776998822460342e-08
1972,2.1897874592978284e-08
1973,2.9106735053931387e-08
1974,3.826477674400459e-08
1975,4.789755030693803e-08
1976,5.769326857521914e-08
1977,7.13179838994295e-08
1978,8.191200911206969e-08
1979,9.270888209503677e-08
1980,1.0537381963818656e-07
1981,1.1740038680890003e-07
1982,1.3139269887980326e-07
1983,1.4925247679034977e-07
1984,1.5893003738450977e-07
1985,1.656147584786335e-07
1986,1.677393644935624e-07
1987,1.6792882969899177e-07
1988,1.6741391967960745e-07
1989,1.6556672375957403e-07
1990,1.5696912011467896e-07
1991,1.597649413400047e-07
1992,1.6350485460796855e-07
1993,1.6498975290752632e-07
1994,1.6891781586179734e-07
1995,1.7157519291036545e-07
1996,1.7641007080523456e-07
1997,1.825757830634497e-07
1998,1.8188583794653823e-07
1999,1.8144643628862207e-07
2000,1.742212205613214e-07
2001,1.6221024371329156e-07
2002,1.517785709178757e-07
2003,1.3746987345289847e-07
2004,1.1995171332403386e-07
2005,1.018378250299585e-07
2006,8.369539220406555e-08
2007,7.7221164827636e-08
2008,7.119038768012485e-08
2009,6.217107641402566e-08
2010,5.1715841513961484e-08
2011,4.4099311123448256e-08
2012,3.675964167980185e-08
2013,3.3077627240426666e-08
2014,2.8503839796404203e-08
2015,2.4713074761198835e-08
2016,2.181469430492403e-08
2017,2.0359034754354372e-08
2018,2.0108770115712103e-08
2019,1.9659938566007895e-08
