ngram,Enel,Eel,Enl,Eel
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,6.160450019316548e-07,0.0,6.160450019316548e-07
1524,0.0,6.160450019316548e-07,0.0,6.160450019316548e-07
1525,0.0,6.160450019316548e-07,0.0,6.160450019316548e-07
1526,0.0,6.160450019316548e-07,0.0,6.160450019316548e-07
1527,0.0,6.160450019316548e-07,0.0,6.160450019316548e-07
1528,0.0,6.160450019316548e-07,0.0,6.160450019316548e-07
1529,0.0,6.160450019316548e-07,0.0,6.160450019316548e-07
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,1.9036705063107156e-06,0.0,0.0,0.0
1567,1.9036705063107156e-06,0.0,0.0,0.0
1568,1.9036705063107156e-06,0.0,0.0,0.0
1569,1.9036705063107156e-06,0.0,0.0,0.0
1570,1.9036705063107156e-06,0.0,0.0,0.0
1571,1.9036705063107156e-06,0.0,0.0,0.0
1572,1.9036705063107156e-06,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,0.0,0.0,0.0,0.0
1599,0.0,0.0,0.0,0.0
1600,0.0,0.0,0.0,0.0
1601,0.0,0.0,0.0,0.0
1602,0.0,0.0,0.0,0.0
1603,0.0,0.0,0.0,0.0
1604,0.0,1.7027031974846197e-07,0.0,1.7027031974846197e-07
1605,0.0,1.7027031974846197e-07,0.0,1.7027031974846197e-07
1606,0.0,1.7027031974846197e-07,0.0,1.7027031974846197e-07
1607,0.0,1.7027031974846197e-07,0.0,1.7027031974846197e-07
1608,0.0,1.7027031974846197e-07,0.0,1.7027031974846197e-07
1609,0.0,1.7027031974846197e-07,0.0,1.7027031974846197e-07
1610,0.0,1.7027031974846197e-07,0.0,1.7027031974846197e-07
1611,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0
1613,0.0,1.598104810390006e-07,0.0,1.598104810390006e-07
1614,0.0,4.894202285348521e-07,0.0,4.894202285348521e-07
1615,0.0,4.894202285348521e-07,0.0,4.894202285348521e-07
1616,0.0,4.894202285348521e-07,0.0,4.894202285348521e-07
1617,0.0,4.894202285348521e-07,0.0,4.894202285348521e-07
1618,0.0,4.894202285348521e-07,0.0,4.894202285348521e-07
1619,0.0,4.894202285348521e-07,0.0,4.894202285348521e-07
1620,0.0,3.296097474958515e-07,0.0,3.296097474958515e-07
1621,0.0,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0
1623,0.0,0.0,0.0,0.0
1624,0.0,0.0,0.0,0.0
